task,completed,score,steps_proposed,repairs,validation_errors,budget
spaceship_titanic,True,0.67333,13,0,5,0
spaceship_titanic,True,0.67333,13,0,4,0
spaceship_titanic,True,0.67333,9,0,1,0
spaceship_titanic,True,0.67333,13,0,5,0
spaceship_titanic,True,0.67333,11,0,3,0
spaceship_titanic,True,0.67333,17,0,3,0
spaceship_titanic,True,0.67333,10,0,0,0
spaceship_titanic,True,0.67333,13,0,2,0
wine_quality,True,0.38462,13,0,5,0
wine_quality,True,0.38462,13,0,4,0
wine_quality,True,0.38462,9,0,1,0
wine_quality,True,0.38462,13,0,5,0
wine_quality,True,0.38462,11,0,3,0
wine_quality,True,0.38462,17,0,3,0
wine_quality,True,0.38462,10,0,0,0
wine_quality,True,0.38462,13,0,2,0
spaceship_titanic,True,0.67333,13,1,5,1
spaceship_titanic,True,0.67333,13,1,4,1
spaceship_titanic,True,0.67333,9,1,1,1
spaceship_titanic,True,0.67333,13,1,5,1
spaceship_titanic,True,0.67333,18,1,5,1
spaceship_titanic,True,0.67333,17,1,3,1
spaceship_titanic,True,0.67333,10,0,0,1
spaceship_titanic,True,0.67333,13,1,2,1
wine_quality,True,0.38462,13,1,5,1
wine_quality,True,0.38462,13,1,4,1
wine_quality,True,0.38462,9,1,1,1
wine_quality,True,0.38462,13,1,5,1
wine_quality,True,0.38462,18,1,5,1
wine_quality,True,0.38462,17,1,3,1
wine_quality,True,0.38462,10,0,0,1
wine_quality,True,0.38462,13,1,2,1
spaceship_titanic,True,0.67333,13,2,5,2
spaceship_titanic,True,0.67333,13,2,4,2
spaceship_titanic,True,0.67333,9,1,1,2
spaceship_titanic,True,0.67333,13,2,5,2
spaceship_titanic,True,0.67333,28,2,5,2
spaceship_titanic,True,0.67333,17,2,3,2
spaceship_titanic,True,0.67333,10,0,0,2
spaceship_titanic,True,0.67333,13,2,2,2
wine_quality,True,0.38462,13,2,5,2
wine_quality,True,0.38462,13,2,4,2
wine_quality,True,0.38462,9,1,1,2
wine_quality,True,0.38462,13,2,5,2
wine_quality,True,0.38462,28,2,5,2
wine_quality,True,0.38462,17,2,3,2
wine_quality,True,0.38462,10,0,0,2
wine_quality,True,0.38462,13,2,2,2
spaceship_titanic,True,0.67333,13,3,5,3
spaceship_titanic,True,0.67333,13,3,4,3
spaceship_titanic,True,0.67333,9,1,1,3
spaceship_titanic,True,0.67333,13,3,5,3
spaceship_titanic,True,0.67333,28,3,5,3
spaceship_titanic,True,0.67333,17,3,3,3
spaceship_titanic,True,0.67333,10,0,0,3
spaceship_titanic,True,0.67333,13,2,2,3
wine_quality,True,0.38462,13,3,5,3
wine_quality,True,0.38462,13,3,4,3
wine_quality,True,0.38462,9,1,1,3
wine_quality,True,0.38462,13,3,5,3
wine_quality,True,0.38462,28,3,5,3
wine_quality,True,0.38462,17,3,3,3
wine_quality,True,0.38462,10,0,0,3
wine_quality,True,0.38462,13,2,2,3
spaceship_titanic,True,0.67333,13,5,5,5
spaceship_titanic,True,0.67333,13,4,4,5
spaceship_titanic,True,0.67333,9,1,1,5
spaceship_titanic,True,0.67333,13,5,5,5
spaceship_titanic,True,0.67333,28,5,5,5
spaceship_titanic,True,0.67333,17,3,3,5
spaceship_titanic,True,0.67333,10,0,0,5
spaceship_titanic,True,0.67333,13,2,2,5
wine_quality,True,0.38462,13,5,5,5
wine_quality,True,0.38462,13,4,4,5
wine_quality,True,0.38462,9,1,1,5
wine_quality,True,0.38462,13,5,5,5
wine_quality,True,0.38462,28,5,5,5
wine_quality,True,0.38462,17,3,3,5
wine_quality,True,0.38462,10,0,0,5
wine_quality,True,0.38462,13,2,2,5
spaceship_titanic,True,0.67333,13,5,5,8
spaceship_titanic,True,0.67333,13,4,4,8
spaceship_titanic,True,0.67333,9,1,1,8
spaceship_titanic,True,0.67333,13,5,5,8
spaceship_titanic,True,0.67333,28,5,5,8
spaceship_titanic,True,0.67333,17,3,3,8
spaceship_titanic,True,0.67333,10,0,0,8
spaceship_titanic,True,0.67333,13,2,2,8
wine_quality,True,0.38462,13,5,5,8
wine_quality,True,0.38462,13,4,4,8
wine_quality,True,0.38462,9,1,1,8
wine_quality,True,0.38462,13,5,5,8
wine_quality,True,0.38462,28,5,5,8
wine_quality,True,0.38462,17,3,3,8
wine_quality,True,0.38462,10,0,0,8
wine_quality,True,0.38462,13,2,2,8
spaceship_titanic,True,0.67333,13,5,5,12
spaceship_titanic,True,0.67333,13,4,4,12
spaceship_titanic,True,0.67333,9,1,1,12
spaceship_titanic,True,0.67333,13,5,5,12
spaceship_titanic,True,0.67333,28,5,5,12
spaceship_titanic,True,0.67333,17,3,3,12
spaceship_titanic,True,0.67333,10,0,0,12
spaceship_titanic,True,0.67333,13,2,2,12
wine_quality,True,0.38462,13,5,5,12
wine_quality,True,0.38462,13,4,4,12
wine_quality,True,0.38462,9,1,1,12
wine_quality,True,0.38462,13,5,5,12
wine_quality,True,0.38462,28,5,5,12
wine_quality,True,0.38462,17,3,3,12
wine_quality,True,0.38462,10,0,0,12
wine_quality,True,0.38462,13,2,2,12
