task,completed,score,steps_proposed,repairs,validation_errors,mode
spaceship_titanic,True,0.67333,14,0,0,Full Verifier (DFA + Data)
spaceship_titanic,True,0.67333,12,2,2,Full Verifier (DFA + Data)
spaceship_titanic,True,0.49333,14,3,3,Full Verifier (DFA + Data)
spaceship_titanic,True,0.49333,19,5,7,Full Verifier (DFA + Data)
spaceship_titanic,True,0.67333,15,2,2,Full Verifier (DFA + Data)
spaceship_titanic,True,0.67333,25,2,2,Full Verifier (DFA + Data)
spaceship_titanic,True,0.49333333333333335,30,5,24,Full Verifier (DFA + Data)
spaceship_titanic,True,0.67333,11,3,3,Full Verifier (DFA + Data)
wine_quality,True,0.38462,14,0,0,Full Verifier (DFA + Data)
wine_quality,True,0.38462,12,2,2,Full Verifier (DFA + Data)
wine_quality,True,0.38462,14,3,3,Full Verifier (DFA + Data)
wine_quality,True,0.38462,19,5,7,Full Verifier (DFA + Data)
wine_quality,True,0.38462,15,2,2,Full Verifier (DFA + Data)
wine_quality,True,0.38462,25,2,2,Full Verifier (DFA + Data)
wine_quality,True,0.38462,17,5,7,Full Verifier (DFA + Data)
wine_quality,True,0.38462,11,3,3,Full Verifier (DFA + Data)
spaceship_titanic,True,0.6733333333333333,14,0,0,Structural-Only (DFA Only)
spaceship_titanic,True,0.6733333333333333,12,2,2,Structural-Only (DFA Only)
spaceship_titanic,True,0.6733333333333333,26,3,3,Structural-Only (DFA Only)
spaceship_titanic,True,0.49333333333333335,12,1,1,Structural-Only (DFA Only)
spaceship_titanic,True,0.6733333333333333,11,0,0,Structural-Only (DFA Only)
spaceship_titanic,True,0.6733333333333333,30,3,3,Structural-Only (DFA Only)
spaceship_titanic,True,0.38666666666666666,21,2,2,Structural-Only (DFA Only)
spaceship_titanic,True,0.0,11,3,3,Structural-Only (DFA Only)
wine_quality,True,0.38461538461538464,14,0,0,Structural-Only (DFA Only)
wine_quality,True,0.38461538461538464,12,2,2,Structural-Only (DFA Only)
wine_quality,True,0.38461538461538464,26,3,3,Structural-Only (DFA Only)
wine_quality,True,0.38461538461538464,12,1,1,Structural-Only (DFA Only)
wine_quality,True,0.38461538461538464,11,0,0,Structural-Only (DFA Only)
wine_quality,True,0.38461538461538464,30,3,3,Structural-Only (DFA Only)
wine_quality,True,0.6153846153846154,21,2,2,Structural-Only (DFA Only)
wine_quality,True,0.0,11,3,3,Structural-Only (DFA Only)
spaceship_titanic,True,0.0,8,4,4,Data-Only (Data Only)
spaceship_titanic,True,0.0,7,5,6,Data-Only (Data Only)
spaceship_titanic,True,0.0,4,3,3,Data-Only (Data Only)
spaceship_titanic,True,0.0,9,5,5,Data-Only (Data Only)
spaceship_titanic,True,0.0,9,5,6,Data-Only (Data Only)
spaceship_titanic,True,0.0,1,0,0,Data-Only (Data Only)
spaceship_titanic,True,0.0,6,3,3,Data-Only (Data Only)
spaceship_titanic,True,0.0,1,0,0,Data-Only (Data Only)
wine_quality,True,0.0,8,4,4,Data-Only (Data Only)
wine_quality,True,0.0,7,5,6,Data-Only (Data Only)
wine_quality,True,0.0,4,3,3,Data-Only (Data Only)
wine_quality,True,0.0,9,5,5,Data-Only (Data Only)
wine_quality,True,0.0,9,5,6,Data-Only (Data Only)
wine_quality,True,0.0,1,0,0,Data-Only (Data Only)
wine_quality,True,0.0,6,3,3,Data-Only (Data Only)
wine_quality,True,0.0,1,0,0,Data-Only (Data Only)
spaceship_titanic,True,0.0,8,0,0,No Verifier (Control)
spaceship_titanic,True,0.0,7,0,0,No Verifier (Control)
spaceship_titanic,True,0.0,4,0,0,No Verifier (Control)
spaceship_titanic,True,0.0,9,0,0,No Verifier (Control)
spaceship_titanic,True,0.0,9,0,0,No Verifier (Control)
spaceship_titanic,True,0.0,1,0,0,No Verifier (Control)
spaceship_titanic,True,0.0,12,0,0,No Verifier (Control)
spaceship_titanic,True,0.0,1,0,0,No Verifier (Control)
wine_quality,True,0.0,8,0,0,No Verifier (Control)
wine_quality,True,0.0,7,0,0,No Verifier (Control)
wine_quality,True,0.0,4,0,0,No Verifier (Control)
wine_quality,True,0.0,9,0,0,No Verifier (Control)
wine_quality,True,0.0,9,0,0,No Verifier (Control)
wine_quality,True,0.0,1,0,0,No Verifier (Control)
wine_quality,True,0.0,12,0,0,No Verifier (Control)
wine_quality,True,0.0,1,0,0,No Verifier (Control)
