step,agent,op,task_id,detail
1,scanner,DISCOVER_BUNDLE,,Scanning for public datasets
2,floor_loader,LOAD_FLOOR,,Loading initial floor solvers
3,analyzer,ANALYZE_TASK,101,Inspect task grid
4,miner,DISCOVER_PATTERN,101,Match pattern
5,builder,BUILD_ONNX,101,Construct graph
6,optimizer,FP16_SURGERY,101,Convert float
7,verifier,VERIFY_TRAIN,101,Check correctness
8,grader,COMPUTE_COST,101,Score
9,analyzer,ANALYZE_TASK,102,Inspect task grid
10,miner,DISCOVER_PATTERN,102,Match pattern
11,builder,BUILD_ONNX,102,Construct graph
12,optimizer,FP16_SURGERY,102,Convert float
13,verifier,VERIFY_TRAIN,102,Check correctness
14,grader,COMPUTE_COST,102,Score
15,blender,BLEND_BUNDLE,,Blend all valid tasks
16,packager,PACKAGE,,Create tar.gz
17,orch,SUBMIT,,Kaggle submission
